incident_date,incident_month,incident_day,incident_year,incidentCategory,X,Y
11/12/17 17:40,11,12,2017,700,-76.12909989,43.03674417
11/13/17 0:00,11,13,2017,0,0,0
11/14/17 21:04,11,14,2017,700,-76.13024507,43.03643367
11/14/17 22:38,11,14,2017,700,-76.13068259,43.04205641
11/15/17 3:57,11,15,2017,700,-76.13068259,43.04205641
11/15/17 18:40,11,15,2017,700,-76.12891084,43.04089125
11/16/17 0:00,11,16,2017,0,0,0
11/17/17 19:07,11,17,2017,500,-76.12670453,43.03191743
11/18/17 0:00,11,18,2017,0,0,0
11/18/17 14:37,11,18,2017,100,-76.11403171,43.040473
11/19/17 0:00,11,19,2017,0,0,0
11/20/17 0:00,11,20,2017,0,0,0
11/21/17 0:00,11,21,2017,0,0,0
11/22/17 16:54,11,22,2017,500,-76.12069155,43.03811633
11/23/17 0:00,11,23,2017,0,0,0
11/24/17 0:00,11,24,2017,0,0,0
11/25/17 0:00,11,25,2017,0,0,0
11/26/17 0:11,11,26,2017,700,-76.12948204,43.03775494
11/26/17 13:27,11,26,2017,700,-76.12760333,43.03816448
11/27/17 0:00,11,27,2017,0,0,0
11/27/17 1:48,11,27,2017,700,-76.12948204,43.03775494
11/27/17 19:36,11,27,2017,700,-76.12909989,43.03674417
11/28/17 0:00,11,28,2017,0,0,0
11/29/17 0:11,11,29,2017,700,-76.12887011,43.04007454
11/30/17 0:00,11,30,2017,0,0,0
12/1/17 12:25,12,1,2017,700,-76.12674495,43.03659034
12/1/17 19:22,12,1,2017,400,-76.12567071,43.03647751
12/2/17 2:57,12,2,2017,600,-76.12567071,43.03647751
12/2/17 4:14,12,2,2017,700,-76.12947923,43.03813602
12/2/17 23:54,12,2,2017,700,-76.12887011,43.04007454
12/3/17 0:50,12,3,2017,700,-76.11614982,43.03785643
12/3/17 5:27,12,3,2017,700,-76.12887011,43.04007454
12/4/17 2:30,12,4,2017,700,-76.12285336,43.03596952
12/5/17 0:14,12,5,2017,100,-76.12674495,43.03659034
12/5/17 23:37,12,5,2017,700,-76.13068259,43.04205641
12/6/17 0:00,12,6,2017,0,0,0
12/7/17 14:04,12,7,2017,100,-76.12837949,43.03568863
12/7/17 21:25,12,7,2017,700,-76.13068259,43.04205641
12/8/17 20:10,12,8,2017,700,-76.13068259,43.04205641
12/9/17 16:20,12,9,2017,700,-76.12891084,43.04089125
12/11/17 0:12,12,11,2017,400,-76.12948204,43.03775494
12/12/17 0:00,12,12,2017,0,0,0
12/13/17 0:00,12,13,2017,0,0,0
12/14/17 4:56,12,14,2017,500,-76.12435858,43.03848875
12/14/17 22:49,12,14,2017,700,-76.13068259,43.04205641
12/15/17 22:49,12,15,2017,700,-76.13068259,43.04205641
12/15/17 23:02,12,15,2017,700,-76.12953652,43.03917472
12/16/17 0:00,12,16,2017,0,0,0
12/17/17 0:00,12,17,2017,0,0,0
12/18/17 0:00,12,18,2017,0,0,0
12/19/17 0:00,12,19,2017,0,0,0
12/20/17 0:00,12,20,2017,0,0,0
12/21/17 0:00,12,21,2017,0,0,0
12/22/17 15:01,12,22,2017,500,-76.12307656,43.03769506
12/23/17 0:00,12,23,2017,0,0,0
12/24/17 0:00,12,24,2017,0,0,0
12/25/17 0:00,12,25,2017,0,0,0
12/26/17 0:00,12,26,2017,0,0,0
12/27/17 0:00,12,27,2017,0,0,0
12/28/17 0:00,12,28,2017,0,0,0
12/29/17 0:00,12,29,2017,0,0,0
12/30/17 0:00,12,30,2017,0,0,0
12/31/17 10:46,12,31,2017,400,-76.11731138,43.03397852
1/1/18 4:06,1,1,2018,700,-76.11958161,43.03659801
1/2/18 15:33,1,2,2018,500,-76.11514589,43.03998739
1/3/18 0:00,1,3,2018,0,0,0
1/4/18 0:00,1,4,2018,0,0,0
1/5/18 0:00,1,5,2018,0,0,0
1/6/18 0:00,1,6,2018,0,0,0
1/7/18 0:00,1,7,2018,0,0,0
1/8/18 20:06,1,8,2018,500,-76.12947923,43.03813602
1/9/18 23:27,1,9,2018,600,-76.11950151,43.04115335
1/10/18 0:00,1,10,2018,0,0,0
1/11/18 7:37,1,11,2018,400,-76.12439131,43.03652109
1/12/18 0:00,1,12,2018,0,0,0
1/13/18 0:00,1,13,2018,0,0,0
1/14/18 15:32,1,14,2018,500,-76.11758873,43.03263749
1/15/18 2:20,1,15,2018,100,-76.12887011,43.04007454
1/15/18 18:47,1,15,2018,100,-76.12255689,43.03144539
1/16/18 8:55,1,16,2018,500,-76.12625467,43.03661898
1/16/18 20:30,1,16,2018,700,-76.11948806,43.04132094
1/16/18 23:04,1,16,2018,700,-76.12887011,43.04007454
1/16/18 23:08,1,16,2018,700,-76.12909989,43.03674417
1/17/18 4:09,1,17,2018,700,-76.13068259,43.04205641
1/18/18 5:52,1,18,2018,400,-76.11773981,43.04086372
1/19/18 1:24,1,19,2018,700,-76.12909989,43.03674417
1/20/18 18:21,1,20,2018,700,-76.12956009,43.03729556
1/21/18 14:13,1,21,2018,700,-76.12956009,43.03729556
1/22/18 0:00,1,22,2018,0,0,0
1/23/18 0:00,1,23,2018,0,0,0
1/24/18 17:23,1,24,2018,700,-76.12887011,43.04007454
1/25/18 16:00,1,25,2018,700,-76.12002668,43.03570374
1/25/18 23:44,1,25,2018,700,-76.12958236,43.03868425
1/26/18 0:00,1,26,2018,0,0,0
1/27/18 0:29,1,27,2018,700,-76.12954496,43.03714544
1/27/18 4:08,1,27,2018,700,-76.12722584,43.03757287
1/27/18 7:33,1,27,2018,700,-76.12978385,43.03983986
1/27/18 11:10,1,27,2018,700,-76.11953631,43.04163451
1/27/18 14:23,1,27,2018,600,-76.11869704,43.04085548
1/28/18 0:00,1,28,2018,0,0,0
1/29/18 0:00,1,29,2018,0,0,0
1/30/18 18:14,1,30,2018,700,-76.13068259,43.04205641
1/31/18 16:57,1,31,2018,700,-76.13012974,43.04172551
1/31/18 19:02,1,31,2018,700,-76.13024507,43.03643367
1/31/18 22:26,1,31,2018,700,-76.13068259,43.04205641
2/1/18 17:01,2,1,2018,700,-76.12953652,43.03917472
2/2/18 0:00,2,2,2018,0,0,0
2/3/18 14:52,2,3,2018,100,-76.12936173,43.03521541
2/3/18 17:21,2,3,2018,700,-76.12435026,43.0340391
2/4/18 0:00,2,4,2018,0,0,0
2/5/18 0:00,2,5,2018,0,0,0
2/6/18 0:00,2,6,2018,0,0,0
2/7/18 1:49,2,7,2018,700,-76.12948204,43.03775494
2/8/18 0:00,2,8,2018,0,0,0
2/9/18 0:00,2,9,2018,0,0,0
2/10/18 3:10,2,10,2018,700,-76.13012974,43.04172551
2/11/18 13:16,2,11,2018,700,-76.13068259,43.04205641
2/11/18 22:24,2,11,2018,700,-76.12693207,43.03444203
2/12/18 0:00,2,12,2018,0,0,0
2/13/18 0:00,2,13,2018,0,0,0
2/14/18 0:00,2,14,2018,0,0,0
2/15/18 0:00,2,15,2018,0,0,0
2/16/18 0:00,2,16,2018,0,0,0
2/17/18 0:00,2,17,2018,0,0,0
2/18/18 0:00,2,18,2018,0,0,0
2/19/18 21:33,2,19,2018,700,-76.12909989,43.03674417
2/20/18 0:00,2,20,2018,0,0,0
2/21/18 0:00,2,21,2018,0,0,0
2/22/18 0:00,2,22,2018,0,0,0
2/23/18 0:00,2,23,2018,0,0,0
2/24/18 3:05,2,24,2018,700,-76.12953652,43.03917472
2/24/18 15:45,2,24,2018,400,-76.11553507,43.03547754
2/25/18 13:19,2,25,2018,700,-76.12956009,43.03729556
2/25/18 22:54,2,25,2018,700,-76.12948204,43.03775494
2/26/18 14:54,2,26,2018,700,-76.13024507,43.03643367
2/27/18 0:00,2,27,2018,0,0,0
2/28/18 0:00,2,28,2018,0,0,0
3/1/18 23:58,3,1,2018,700,-76.12887011,43.04007454
3/2/18 7:56,3,2,2018,900,-76.11682198,43.04140304
3/2/18 8:04,3,2,2018,900,-76.11396889,43.03704947
3/2/18 15:26,3,2,2018,400,-76.11429316,43.04172311
3/2/18 18:14,3,2,2018,400,-76.11558567,43.04005778
3/2/18 20:39,3,2,2018,700,-76.12887011,43.04007454
3/3/18 11:49,3,3,2018,100,-76.12891084,43.04089125
3/3/18 23:17,3,3,2018,700,-76.12953652,43.03917472
3/3/18 23:28,3,3,2018,700,-76.12956009,43.03729556
3/4/18 0:27,3,4,2018,700,-76.12953652,43.03917472
3/5/18 18:19,3,5,2018,500,-76.12478895,43.03847103
3/5/18 22:09,3,5,2018,700,-76.13068259,43.04205641
3/6/18 13:19,3,6,2018,400,-76.12159127,43.03254747
3/7/18 0:00,3,7,2018,0,0,0
3/9/18 0:00,3,9,2018,0,0,0
3/10/18 0:12,3,10,2018,700,-76.12887011,43.04007454
3/11/18 13:17,3,11,2018,500,-76.13068259,43.04205641
3/11/18 18:09,3,11,2018,400,-76.11864867,43.035026
3/12/18 0:00,3,12,2018,0,0,0
3/13/18 0:00,3,13,2018,0,0,0
3/14/18 0:00,3,14,2018,0,0,0
3/15/18 0:00,3,15,2018,0,0,0
3/16/18 22:47,3,16,2018,700,-76.1163095,43.03992355
3/17/18 20:17,3,17,2018,400,-76.11524334,43.04126684
3/18/18 17:10,3,18,2018,700,-76.12978385,43.03983986
3/18/18 21:59,3,18,2018,400,-76.11907678,43.03508253
3/19/18 0:00,3,19,2018,0,0,0
3/20/18 0:00,3,20,2018,0,0,0
3/21/18 17:14,3,21,2018,700,-76.12653149,43.0322829
3/22/18 23:55,3,22,2018,700,-76.12978385,43.03983986
3/23/18 20:45,3,23,2018,700,-76.13068259,43.04205641
3/24/18 0:00,3,24,2018,0,0,0
3/25/18 0:00,3,25,2018,0,0,0
3/26/18 22:54,3,26,2018,700,-76.12956009,43.03729556
3/27/18 5:43,3,27,2018,100,-76.11982372,43.041777
3/27/18 13:06,3,27,2018,700,-76.12891084,43.04089125
3/28/18 5:43,3,28,2018,700,-76.13024507,43.03643367
3/29/18 1:50,3,29,2018,700,-76.12948204,43.03775494
3/29/18 11:55,3,29,2018,700,-76.12909989,43.03674417
3/30/18 0:00,3,30,2018,0,0,0
3/31/18 3:25,3,31,2018,700,-76.12948339,43.03845519
3/31/18 4:17,3,31,2018,700,-76.12956009,43.03729556
3/31/18 10:31,3,31,2018,100,-76.12891084,43.04089125
4/1/18 0:00,4,1,2018,0,0,0
4/2/18 0:00,4,2,2018,0,0,0
4/3/18 0:00,4,3,2018,0,0,0
4/4/18 0:00,4,4,2018,0,0,0
4/5/18 0:00,4,5,2018,0,0,0
4/6/18 3:04,4,6,2018,600,-76.12948339,43.03845519
4/7/18 0:00,4,7,2018,0,0,0
4/8/18 23:37,4,8,2018,700,-76.13068259,43.04205641
4/9/18 1:21,4,9,2018,700,-76.12891084,43.04089125
