incident_date,incident_month,incident_day,incident_year,incidentCategory,X,Y
10/11/08 18:41,10,11,2008,500,-76.11746271,43.03752929
10/11/08 21:10,10,11,2008,700,-76.13068259,43.04205638
10/16/08 22:35,10,16,2008,700,-76.11906421,43.03818855
10/17/08 2:27,10,17,2008,100,-76.12887011,43.04007454
10/19/08 15:02,10,19,2008,500,-76.12102036,43.04099854
10/19/08 16:11,10,19,2008,500,-76.11934963,43.04150249
10/20/08 0:58,10,20,2008,700,-76.12891088,43.04089123
10/23/08 10:36,10,23,2008,700,-76.12891088,43.04089123
10/25/08 13:27,10,25,2008,100,-76.12990532,43.03726663
10/25/08 23:51,10,25,2008,700,-76.12887011,43.04007454
10/26/08 5:47,10,26,2008,700,-76.12999593,43.03825646
10/31/08 9:47,10,31,2008,500,-76.12426503,43.03512596
10/31/08 13:44,10,31,2008,700,-76.13055222,43.03775241
10/31/08 21:50,10,31,2008,900,-76.12176871,43.03564583
11/1/08 1:11,11,01,2008,700,-76.12999801,43.03934971
11/5/08 8:40,11,05,2008,700,-76.11488649,43.04170167
11/7/08 23:47,11,07,2008,700,-76.12999593,43.03825646
11/8/08 3:38,11,08,2008,700,-76.12999593,43.03825646
11/9/08 9:31,11,09,2008,500,-76.11863834,43.03309388
11/10/08 19:17,11,10,2008,700,-76.12891088,43.04089123
11/10/08 22:25,11,10,2008,700,-76.12891088,43.04089123
11/13/08 7:28,11,13,2008,400,-76.12031787,43.03687243
11/14/08 17:51,11,14,2008,700,-76.13055222,43.03775241
11/15/08 16:23,11,15,2008,600,-76.12048907,43.04018184
11/15/08 19:32,11,15,2008,600,-76.11196965,43.04157303
11/16/08 4:57,11,16,2008,700,-76.12696421,43.03682304
11/16/08 15:46,11,16,2008,500,-76.12891088,43.04089123
11/18/08 11:32,11,18,2008,100,-76.12904008,43.03672358
11/19/08 7:11,11,19,2008,700,-76.12907357,43.03227378
11/19/08 16:58,11,19,2008,500,-76.12980507,43.0362566
11/20/08 21:54,11,20,2008,700,-76.12999593,43.03825646
11/21/08 2:55,11,21,2008,700,-76.12999593,43.03825646
11/22/08 13:05,11,22,2008,600,-76.12887011,43.04007454
11/27/08 11:42,11,27,2008,500,-76.11889876,43.03623956
11/30/08 2:07,11,30,2008,700,-76.12995819,43.03784403
12/2/08 9:52,12,02,2008,100,-76.11553569,43.03697152
12/2/08 11:01,12,02,2008,600,-76.12092642,43.03920718
12/5/08 14:43,12,05,2008,700,-76.12020798,43.03565379
12/7/08 14:19,12,07,2008,600,-76.12959668,43.03395331
12/8/08 13:24,12,08,2008,700,-76.12995819,43.03784403
12/11/08 9:15,12,11,2008,500,-76.11815113,43.03684296
12/12/08 4:39,12,12,2008,500,-76.11196965,43.04157303
12/18/08 15:58,12,18,2008,700,-76.13005634,43.03891634
12/24/08 12:39,12,24,2008,400,-76.11851929,43.03986798
12/26/08 12:01,12,26,2008,700,-76.12999801,43.03934971
1/3/09 10:01,01,03,2009,700,-76.12999801,43.03934971
1/4/09 19:20,01,04,2009,400,-76.11637692,43.03830347
1/8/09 16:19,01,08,2009,500,-76.12547312,43.03436292
1/9/09 0:53,01,09,2009,700,-76.13068259,43.04205638
1/11/09 18:23,01,11,2009,400,-76.12424216,43.03487305
1/12/09 22:33,01,12,2009,600,-76.13005634,43.03891634
1/13/09 23:13,01,13,2009,500,-76.11816801,43.03761494
1/13/09 23:52,01,13,2009,700,-76.1298356,43.03625549
1/14/09 10:32,01,14,2009,100,-76.12430195,43.03553271
1/16/09 10:01,01,16,2009,500,-76.1153487,43.03989098
1/20/09 18:23,01,20,2009,700,-76.11125537,43.03766796
1/20/09 21:29,01,20,2009,400,-76.12276172,43.03220416
1/21/09 23:24,01,21,2009,600,-76.12887011,43.04007454
1/22/09 17:19,01,22,2009,700,-76.12887011,43.04007454
1/28/09 14:21,01,28,2009,100,-76.11631748,43.03494018
1/30/09 10:56,01,30,2009,600,-76.12686112,43.03577417
2/2/09 12:48,02,02,2009,400,-76.12114646,43.0418006
2/6/09 11:53,02,06,2009,700,-76.12990532,43.03726663
2/7/09 19:35,02,07,2009,700,-76.11955784,43.04150761
2/8/09 21:32,02,08,2009,400,-76.11520662,43.03784467
2/9/09 14:32,02,09,2009,400,-76.11655386,43.04076917
2/10/09 18:53,02,10,2009,400,-76.12098515,43.0367054
2/11/09 0:22,02,11,2009,400,-76.11997654,43.03306627
2/12/09 8:39,02,12,2009,500,-76.11275466,43.03710798
2/12/09 16:39,02,12,2009,700,-76.12990532,43.03726663
2/12/09 23:21,02,12,2009,700,-76.12995819,43.03784403
2/13/09 0:38,02,13,2009,700,-76.12995819,43.03784403
2/18/09 11:38,02,18,2009,700,-76.12368083,43.03656943
2/21/09 2:02,02,21,2009,700,-76.12999801,43.03934971
2/21/09 19:33,02,21,2009,700,-76.12887011,43.04007454
2/23/09 15:49,02,23,2009,700,-76.12999593,43.03825646
2/26/09 19:16,02,26,2009,600,-76.12075186,43.03412034
2/26/09 19:54,02,26,2009,700,-76.13052837,43.04088935
2/27/09 22:29,02,27,2009,700,-76.13005634,43.03891634
3/2/09 2:13,03,02,2009,600,-76.12275644,43.03214496
3/2/09 12:22,03,02,2009,500,-76.12577806,43.03335225
3/10/09 8:14,03,10,2009,700,-76.12990532,43.03726663
3/11/09 8:04,03,11,2009,700,-76.12999801,43.03934971
3/16/09 21:44,03,16,2009,400,-76.12703879,43.03762181
3/18/09 9:38,03,18,2009,400,-76.12277697,43.0323801
3/19/09 4:00,03,19,2009,700,-76.12999593,43.03825646
3/21/09 1:37,03,21,2009,700,-76.12999593,43.03825646
3/28/09 0:32,03,28,2009,700,-76.12999593,43.03825646
3/28/09 1:08,03,28,2009,500,-76.12329846,43.03833949
3/28/09 1:11,03,28,2009,700,-76.12999593,43.03825646
3/31/09 16:50,03,31,2009,600,-76.12173265,43.04085613
4/2/09 7:09,04,02,2009,700,-76.126633,43.03666573
4/2/09 14:20,04,02,2009,700,-76.12887011,43.04007454
4/2/09 23:03,04,02,2009,100,-76.12253508,43.03364177
4/2/09 23:49,04,02,2009,100,-76.12124634,43.04002651
4/6/09 1:08,04,06,2009,600,-76.12698899,43.03708929
4/9/09 0:58,04,09,2009,700,-76.11955784,43.04150761
4/11/09 20:58,04,11,2009,700,-76.1231656,43.03659609
4/12/09 0:55,04,12,2009,700,-76.12999593,43.03825646
4/12/09 14:17,04,12,2009,100,-76.12285316,43.03325985
4/14/09 8:49,04,14,2009,600,-76.11920323,43.03977396
4/15/09 0:10,04,15,2009,500,-76.1275587,43.03306569
4/15/09 17:09,04,15,2009,700,-76.12999593,43.03825646
4/17/09 22:50,04,17,2009,100,-76.12276621,43.03225782
4/20/09 20:39,04,20,2009,700,-76.13005634,43.03891634
4/21/09 1:31,04,21,2009,100,-76.11955784,43.04150761
4/21/09 1:31,04,21,2009,100,-76.11955784,43.04150761
4/21/09 16:35,04,21,2009,600,-76.12823626,43.03696124
4/23/09 9:37,04,23,2009,700,-76.12990532,43.03726663
4/26/09 9:05,04,26,2009,700,-76.13055222,43.03775241
4/26/09 9:12,04,26,2009,400,-76.11365012,43.03279234
4/26/09 15:17,04,26,2009,700,-76.13068259,43.04205638
4/26/09 20:54,04,26,2009,700,-76.11908237,43.03840415
4/26/09 22:53,04,26,2009,500,-76.11508594,43.03601214
4/27/09 12:43,04,27,2009,400,-76.1211174,43.03760974
4/28/09 11:28,04,28,2009,700,-76.12999801,43.03934971
4/29/09 17:37,04,29,2009,700,-76.12887011,43.04007454
5/1/09 6:16,05,01,2009,400,-76.11703307,43.03900241
5/1/09 22:02,05,01,2009,700,-76.12887011,43.04007454
5/8/09 1:50,05,08,2009,100,-76.126616,43.03806026
5/8/09 15:34,05,08,2009,700,-76.12999801,43.03934971
5/8/09 15:35,05,08,2009,700,-76.12995819,43.03784403
5/8/09 16:02,05,08,2009,700,-76.12995819,43.03784403
5/9/09 11:15,05,09,2009,400,-76.12020798,43.03565379
5/10/09 13:15,05,10,2009,700,-76.12689242,43.03608286
5/11/09 20:34,05,11,2009,100,-76.12314218,43.0365972
5/12/09 2:17,05,12,2009,100,-76.11883263,43.03547569
5/12/09 23:08,05,12,2009,400,-76.11169585,43.03713111
5/13/09 0:50,05,13,2009,700,-76.12280238,43.03267335
5/14/09 9:34,05,14,2009,400,-76.11522818,43.03814883
5/14/09 10:03,05,14,2009,400,-76.11780347,43.0418087
5/14/09 10:56,05,14,2009,400,-76.12454863,43.03825402
5/14/09 11:04,05,14,2009,400,-76.12005933,43.03851777
5/14/09 22:06,05,14,2009,700,-76.12999801,43.03934971
5/16/09 14:43,05,16,2009,700,-76.12999801,43.03934971
5/17/09 1:59,05,17,2009,700,-76.12999801,43.03934971
5/17/09 15:35,05,17,2009,400,-76.12414216,43.03377203
5/20/09 16:15,05,20,2009,700,-76.13006411,43.03469547
5/21/09 19:04,05,21,2009,500,-76.12705741,43.03245805
5/22/09 13:12,05,22,2009,100,-76.11904185,43.04064833
5/24/09 22:36,05,24,2009,100,-76.11658876,43.04162735
5/26/09 20:10,05,26,2009,600,-76.12265549,43.04126986
5/29/09 22:27,05,29,2009,500,-76.12705741,43.03245805
6/1/09 18:33,06,01,2009,700,-76.12417654,43.03414689
6/5/09 21:39,06,05,2009,500,-76.12703894,43.03762181
6/11/09 17:02,06,11,2009,700,-76.12904008,43.03672358
6/11/09 18:04,06,11,2009,400,-76.11861703,43.04153935
6/16/09 6:16,06,16,2009,600,-76.11660837,43.0416265
6/17/09 0:55,06,17,2009,700,-76.12404038,43.03266472
6/18/09 19:22,06,18,2009,700,-76.12891088,43.04089123
6/18/09 21:04,06,18,2009,400,-76.11628197,43.03443416
6/25/09 4:38,06,25,2009,700,-76.11750859,43.03452413
6/25/09 12:15,06,25,2009,700,-76.13068259,43.04205638
6/26/09 7:33,06,26,2009,700,-76.13005634,43.03891634
6/26/09 10:05,06,26,2009,700,-76.12891088,43.04089123
6/27/09 19:12,06,27,2009,500,-76.12420214,43.03443048
7/1/09 7:13,07,01,2009,600,-76.12048907,43.04018173
7/2/09 22:37,07,02,2009,500,-76.11746271,43.03752929
7/3/09 12:47,07,03,2009,400,-76.11613078,43.03278257
7/5/09 5:29,07,05,2009,700,-76.11919423,43.03856089
7/5/09 8:50,07,05,2009,100,-76.12661099,43.03144307
7/5/09 23:15,07,05,2009,700,-76.12799149,43.03187553
7/6/09 12:48,07,06,2009,400,-76.12439227,43.03653275
7/6/09 14:16,07,06,2009,500,-76.11870952,43.0339113
7/13/09 18:29,07,13,2009,400,-76.12671695,43.03435406
7/18/09 19:20,07,18,2009,500,-76.12399877,43.03221015
7/18/09 20:48,07,18,2009,500,-76.12459855,43.03870777
7/18/09 22:25,07,18,2009,500,-76.12459855,43.03870777
7/21/09 1:49,07,21,2009,600,-76.12284933,43.03321725
7/22/09 13:59,07,22,2009,400,-76.11418826,43.03704014
7/24/09 0:45,07,24,2009,100,-76.12121455,43.0384609
7/25/09 0:48,07,25,2009,600,-76.11631459,43.03490126
7/26/09 18:39,07,26,2009,500,-76.12123934,43.03872142
8/3/09 0:05,08,03,2009,400,-76.11606261,43.03201617
8/5/09 1:02,08,05,2009,600,-76.12980507,43.0362566
8/5/09 16:24,08,05,2009,600,-76.12253508,43.03364177
8/6/09 15:49,08,06,2009,400,-76.11677213,43.04075862
8/9/09 15:25,08,09,2009,700,-76.12569799,43.03647602
8/10/09 16:47,08,10,2009,400,-76.12041968,43.03366852
8/13/09 7:19,08,13,2009,600,-76.12887011,43.04007454
8/14/09 9:49,08,14,2009,400,-76.11922745,43.03652984
8/15/09 0:01,08,15,2009,400,-76.1191679,43.04184549
8/15/09 23:03,08,15,2009,600,-76.12670453,43.03191743
8/18/09 17:03,08,18,2009,700,-76.12049733,43.03672998
8/19/09 10:12,08,19,2009,700,-76.12887011,43.04007454
8/21/09 17:30,08,21,2009,700,-76.12938169,43.03163886
8/23/09 17:34,08,23,2009,400,-76.12674216,43.03460105
8/27/09 12:10,08,27,2009,700,-76.13009075,43.0393793
8/27/09 16:28,08,27,2009,700,-76.13009075,43.0393793
8/29/09 9:47,08,29,2009,700,-76.13009075,43.0393793
8/29/09 21:16,08,29,2009,700,-76.13009075,43.0393793
8/30/09 0:23,08,30,2009,700,-76.13009075,43.0393793
8/30/09 18:25,08,30,2009,700,-76.12999801,43.03934971
8/31/09 9:33,08,31,2009,700,-76.13009075,43.0393793
8/31/09 11:55,08,31,2009,700,-76.13009075,43.0393793
9/1/09 7:04,09,01,2009,400,-76.12689242,43.03608286
9/1/09 19:45,09,01,2009,400,-76.1256001,43.0357212
9/2/09 14:33,09,02,2009,100,-76.11970018,43.04034361
9/2/09 19:44,09,02,2009,700,-76.12995819,43.03784403
9/2/09 20:07,09,02,2009,700,-76.12891088,43.04089123
9/3/09 10:43,09,03,2009,700,-76.13009075,43.0393793
9/3/09 22:25,09,03,2009,100,-76.12424632,43.03491733
9/4/09 11:50,09,04,2009,700,-76.12891088,43.04089123
9/5/09 3:28,09,05,2009,100,-76.12887011,43.04007454
9/7/09 4:00,09,07,2009,400,-76.12999801,43.03934971
9/10/09 15:07,09,10,2009,700,-76.13009075,43.0393793
9/10/09 23:33,09,10,2009,600,-76.1281813,43.03634517
9/11/09 11:08,09,11,2009,700,-76.126633,43.03666573
9/11/09 11:41,09,11,2009,700,-76.12995819,43.03784403
9/13/09 1:14,09,13,2009,700,-76.13052837,43.04088935
9/15/09 10:22,09,15,2009,700,-76.13009075,43.0393793
9/16/09 8:01,09,16,2009,700,-76.12698275,43.03702273
9/17/09 14:33,09,17,2009,700,-76.13009075,43.0393793
9/19/09 6:34,09,19,2009,700,-76.12689242,43.03608286
